Product Id,Model ,Partner ,Device Type ,Part Number,Vendor,FormFactor,Interface Speed,Drivce Format,RPM,Id,Capacity,,Releases
36983,A03-D146GC2,Cisco,SAS,58-0117-01,Seagate,2.5",6,512n,15000,NA,146,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=36983,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35687,A03-D1TBSATA,Cisco,SATA,9RZ168-175,SEAGATE,2.5",6,512n,7200,9RZ168-175(003),1000,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=35687,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
36986,A03-D300GA2,Cisco,SAS,58-0113-01,Seagate,2.5",6,512n,10000,NA,300,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=36986,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
36985,A03-D600GA2,Cisco,SAS,58-0125-01,Seagate,2.5",6,512n,10000,NA,600,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=36985,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
41052,UCS-C3K-10TEM,Cisco,SAS,58-100205-01,HGST,3.5",12,512e,7200,HUH721010AL5200,10000,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=41052,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5)"
41053,UCS-C3K-10TREM,Cisco,SAS,58-100205-01,HGST,3.5",12,512e,7200,HUH721010AL5200,10000,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=41053,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5)"
41051,UCS-C3K-6TEM,Cisco,SAS,58-100205-01,HGST,3.5",12,512e,7200,HUS726060AL5210,6000,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=41051,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5)"
41055,UCS-C3K-6TREM,Cisco,SAS,58-100205-01,HGST,3.5",12,512e,7200,HUS726060AL5210,6000,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=41055,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5)"
41615,UCS-C3K-HD4TB,Cisco,SAS,58-100189-01,Seagate,3.5",12,512n,7200,ST4000NM0025,4000,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=41615,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
41617,UCS-C3K-HD4TB,Cisco,SAS,58-100189-01,HGST,3.5",12,512n,7200,HUS726040ALS210,4000,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=hdd&productid=41617,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
