Product Id,Model ,Partner ,Device Type ,Part Number,Vendor,FormFactor,Interface Speed,Performance Class,Tier,TBW Endurance Class,Flash Technology,Capacity,IODevice,ID,,Releases
38992,CISCO IOMEMORY PX600-1000,Cisco,PCI-E,16-100480-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,1000,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38992,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38995,CISCO IOMEMORY PX600-1005,Cisco,PCI-E,16-100502-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,1000,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38995,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38996,CISCO IOMEMORY PX600-1305,Cisco,PCI-E,16-100503-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,1300,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38996,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38993,CISCO IOMEMORY PX600-2600,Cisco,PCI-E,16-100482-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,2600,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38993,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38997,CISCO IOMEMORY PX600-2605,Cisco,PCI-E,16-100504-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,2600,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38997,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38994,CISCO IOMEMORY PX600-5200,Cisco,PCI-E,16-100483-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,5200,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38994,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38998,CISCO IOMEMORY PX600-5205,Cisco,PCI-E,16-100505-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,5200,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38998,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
39000,CISCO IOMEMORY SX300-1300,Cisco,PCI-E,16-100481-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class C >=3650 TBW,MLC,1250,ioMemory SX300,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=39000,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
39001,CISCO IOMEMORY SX300-3205,Cisco,PCI-E,16-100531-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,3200,ioMemory SX300,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=39001,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
39002,CISCO IOMEMORY SX300-6405,Cisco,PCI-E,16-100532-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,6400,ioMemory SX300,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=39002,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38999,Cisco UCS Fusion ioMemory 1.3TB(PX600) Mezzanine PCIe Card,Cisco,PCI-E,74-­13235­-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,1300,ioMemory PX600,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38999,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
39003,Cisco UCS Fusion ioMemory 1.6TB(SX300) Mezzanine PCIe Card,Cisco,PCI-E,74-­13236-01,FUSIONIO,,,"Class F: 100,000+ writes per second",vSAN Hybrid Caching Tier,Endurance Class C >=3650 TBW,MLC,1600,ioMemory SX300,IODRIVE,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=39003,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
